o,d,flow
44007010400,44007010300,175
44007012602,44007012601,175
44007013002,44007011600,175
44007013201,44007013201,175
44007013500,44007013500,175
44007016500,44007000800,175
44009050103,44009050301,175
44003020101,44009050103,170
44003020601,44003020601,170
44003020603,44007000800,170
44003022201,44003022201,170
44005040101,44005040400,170
44005040400,44005041000,170
44005040900,44005041000,170
44007000101,44007000800,170
44007000300,44007000600,170
44007002600,44007000800,170
44007011401,44007018500,170
44007012300,44003021100,170
44007012602,44007000800,170
44007012801,44007012803,170
44007013001,44007013002,170
44007014100,44003021100,170
44007015000,44007000800,170
44007017500,44007018000,170
44009050301,44009050302,170
44009051305,44007000800,170
44003020603,44003022202,165
44003020904,44003020904,165
44003022201,44007000600,165
44005040303,44005041200,165
44005041100,44005040900,165
44007010600,44007010300,165
44007010702,44007010702,165
44007011302,44007011301,165
44007011402,44007018500,165
44007011702,44007011702,165
44007012300,44007011600,165
44007012300,44007012300,165
44007013400,44007000600,165
44007014000,44007014200,165
44007014100,44007000800,165
44007015000,44007015000,165
44007017600,44007018000,165
44007017900,44007018500,165
44001030901,44005040103,160
44001030902,44007000600,160
44003020200,44003022300,160
44003020500,44003022100,160
44003020703,44009050103,160
44005040302,44005040400,160
44005040500,44005040600,160
44007002700,44007000800,160
44007011401,44007011500,160
44007012102,44007000800,160
44007012200,44007012401,160
44007017700,44007018500,160
44009050402,44009050402,160
44009051202,44009051503,160
44009051305,44009051202,160
44009051502,44009051400,160
25005632200,44007000600,155
44001030800,44001030700,155
44003020200,44003020101,155
44003020603,44003021100,155
44003021001,44003021100,155
44003021300,44003021300,155
44003021300,44003022300,155
44003022201,44003021903,155
44003022201,44007000800,155
44005040303,44005040303,155
44007003100,44007003100,155
44007003300,44007000800,155
44007003500,44007003500,155
44007003700,44007003700,155
44007011403,44007000800,155
44007012401,44007000800,155
44007014600,44007000800,155
44007016500,44007016500,155
44007018500,44007018500,155
44009050700,44009050103,155
44009050801,44009050902,155
44009051201,44009051504,155
44003020102,44003022202,150
